词,类型,上限,说明
瞳孔微缩,动作,0,oh-story一级禁用词(完全禁止)
倒吸一口凉气,动作,0,陈词滥调(完全禁止)
屏住呼吸,动作,1,AI标记动作(限1次)
心跳加速,动作,0,陈词滥调(完全禁止)
手心冒汗,动作,0,AI标记动作(完全禁止)
浑身一震,动作,0,AI标记动作(完全禁止)
浑身一颤,动作,0,AI标记动作(完全禁止)
身体一僵,动作,0,AI标记动作(完全禁止)
身子一颤,动作,0,AI标记动作(完全禁止)
眼中闪过,表情,1,oh-story一级禁用词(限1次)
嘴角勾起,表情,0,oh-story一级禁用词(完全禁止)
嘴角抽搐,表情,0,AI专属表情(完全禁止)
嘴角抽动,表情,0,AI专属表情(完全禁止)
嘴角上扬,表情,0,AI专属表情(完全禁止)
嘴角下压,表情,0,AI专属表情(完全禁止)
面无表情,表情,1,AI专属表情(限1次)
神色复杂,表情,0,AI专属表情(完全禁止)
神色一动,表情,0,AI专属表情(完全禁止)
神色凝重,表情,0,AI专属表情(完全禁止)
面色一沉,表情,0,AI专属表情(完全禁止)
面色铁青,表情,0,AI专属表情(完全禁止)
脸色一变,表情,0,AI专属表情(完全禁止)
心中一动,心理,0,oh-story一级禁用词(完全禁止)
心头一震,心理,0,oh-story一级禁用词(完全禁止)
心头一紧,心理,0,AI高频心理(完全禁止)
心头一凛,心理,0,AI高频心理(完全禁止)
心下了然,心理,0,oh-story一级禁用词(完全禁止)
心中暗道,心理,1,oh-story一级禁用词(限1次)
心底泛起,心理,0,oh-story一级禁用词(完全禁止)
不由得,心理,1,oh-story一级禁用词(限1次)
他感到,心理,0,直接告知情绪(完全禁止)
她感到,心理,0,直接告知情绪(完全禁止)
他觉得很,心理,0,直接告知情绪(完全禁止)
她觉得很,心理,0,直接告知情绪(完全禁止)
他心中,心理,1,心理词前置(限1次)
她心中,心理,1,心理词前置(限1次)
他暗想,心理,1,心理词前置(限1次)
她暗想,心理,1,心理词前置(限1次)
不容置疑,判断,0,oh-story一级禁用词(完全禁止)
不容置喙,判断,0,oh-story一级禁用词(完全禁止)
不易察觉,判断,0,oh-story一级禁用词(完全禁止)
显而易见,判断,0,oh-story一级禁用词(完全禁止)
毫无疑问,判断,0,oh-story一级禁用词(完全禁止)
不可否认,判断,0,oh-story一级禁用词(完全禁止)
毋庸置疑,判断,0,书面化判断词(完全禁止)
不言而喻,判断,0,书面化判断词(完全禁止)
理所当然,判断,0,书面化判断词(完全禁止)
顺理成章,判断,0,书面化判断词(完全禁止)
由此可见,判断,0,书面化判断词(完全禁止)
综上所述,判断,0,书面化判断词(完全禁止)
深邃,形容,0,oh-story一级禁用词(完全禁止)
凛冽,形容,0,oh-story一级禁用词(完全禁止)
狡黠,形容,0,oh-story一级禁用词(完全禁止)
闪烁着光芒,形容,0,oh-story一级禁用词(完全禁止)
苍凉,形容,0,抒情性形容词(完全禁止)
萧瑟,形容,0,抒情性形容词(完全禁止)
凄美,形容,0,抒情性形容词(完全禁止)
瑰丽,形容,0,抒情性形容词(完全禁止)
绚烂,形容,0,抒情性形容词(完全禁止)
缥缈,形容,0,抒情性形容词(完全禁止)
氤氲,形容,0,抒情性形容词(完全禁止)
朦胧,形容,0,抒情性形容词(完全禁止)
斑驳,形容,0,抒情性形容词(完全禁止)
婆娑,形容,0,抒情性形容词(完全禁止)
摇曳,形容,0,抒情性形容词(完全禁止)
幽深,形容,0,抒情性形容词(完全禁止)
静谧,形容,0,抒情性形容词(完全禁止)
寂寥,形容,0,抒情性形容词(完全禁止)
不由自主,过渡,0,oh-story一级禁用词(完全禁止)
情不自禁,过渡,0,oh-story一级禁用词(完全禁止)
自然而然,过渡,0,oh-story一级禁用词(完全禁止)
与此同时,过渡,1,书面化连词(限1次)
话音刚落,过渡,1,书面化连词(限1次)
话音未落,过渡,1,书面化连词(限1次)
不久之后,过渡,1,书面化连词(限1次)
过了一会,过渡,1,书面化连词(限1次)
好像,副词,2,oh-story二级禁用词(限2次)
瞬间,副词,2,oh-story二级禁用词(限2次)
渐渐,副词,1,oh-story二级禁用词(限1次)
逐渐,副词,2,AI高频副词(限2次)
静静,副词,1,AI高频副词(限1次)
默默,副词,1,AI高频副词(限1次)
悄悄,副词,2,常用副词(限2次)
暗暗,副词,1,AI高频副词(限1次)
隐隐,副词,1,AI高频副词(限1次)
徐徐,副词,0,文言腔(完全禁止)
冉冉,副词,0,文言腔(完全禁止)
他不知道的是,句式,0,全知视角剧透(完全禁止)
她不知道的是,句式,0,全知视角剧透(完全禁止)
带着,句式,3,万能状语(限3次)
声音不大,句式,1,AI最爱声音描写(限1次)
仿佛能,句式,0,文言腔比喻(完全禁止)
终于明白,句式,1,总结升华句式(限1次)
这才意识到,句式,1,总结升华句式(限1次)
这一刻,句式,1,升华句式(限1次)
这就是,句式,1,升华句式(限1次)
好消息,句式,1,好消息坏消息三连(限1次)
坏消息,句式,1,好消息坏消息三连(限1次)
瓦解,书面腔,1,书面腔词(限1次)
无名火,书面腔,1,书面腔词(限1次)
